parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
pvalue,0.1388933
mouse_strain,C57BL
gene_symbol,Rap2b
analysis_id,m20k021491r7401
gene_accession_id,MGI:1921262
parameter_name,Retina (combined)
