analysis_id,e8fgv8d42w6in3w
mouse_strain,C57BL
parameter_id,MGP_PBI_011_001
pvalue,0.6983703
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
