gene_symbol,Car13
parameter_name,PP1 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
pvalue,0.1022577
parameter_id,ESLIM_011_001_007
analysis_id,q15jdp45w377r3f
mouse_strain,C57BL
