parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
analysis_id,y1651brjtz9b9wm
parameter_name,Startle response
pvalue,0.7834628
mouse_strain,C57BL
