analysis_id,v76p4b813h0w0xb
parameter_name,Periphery resting time
pvalue,0.6636666
gene_symbol,Rnf114
parameter_id,HRWLLA_OFD_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
mouse_strain,C57BL
