analysis_id,5098j54c52y6k40
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Fgb
pvalue,0.4824796
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:99501
parameter_id,MGP_IMM_070_001
