analysis_id,q62d2230y027236
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
pvalue,0.307164
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
