parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:95576
analysis_id,o2z3kfucwd4e12n
gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.132717
mouse_strain,C57BL
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
