gene_symbol,Lrrc69
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
analysis_id,tnu95sn1n55xg8r
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
pvalue,0.4159785
gene_accession_id,MGI:1920564
