gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
parameter_name,Creatinine
gene_accession_id,MGI:1921688
analysis_id,f5pcf1y87t2o1f7
mouse_strain,C57BL
pvalue,0.2101355
