parameter_name,Basophil differential count
mouse_strain,C57BL
gene_symbol,Secisbp2l
pvalue,0.6074527
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_038_001
analysis_id,vp51121470bdm11
