gene_symbol,Ints7
mouse_strain,C57BL
parameter_name,Mean cell volume
parameter_id,IMPC_HEM_005_001
pvalue,0.2570104
analysis_id,71lt79ptkfv6e1m
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
