gene_symbol,Tnfsf10
gene_accession_id,MGI:107414
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
pvalue,0.9459771
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0e06mmiti97iw84
