analysis_id,d085v326n833o30
parameter_name,Distance travelled - total
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tiprl
parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:1915087
pvalue,0.1916329
