gene_symbol,Traf6
analysis_id,g635bl708fa90c7
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.556309
parameter_id,IMPC_EYE_092_001
gene_accession_id,MGI:108072
