gene_symbol,Bcs1l
pvalue,0.5387694
mouse_strain,C57BL
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
analysis_id,6051793uf6zf11r
parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
