parameter_name,Retina (combined)
gene_symbol,Bach2
mouse_life_stage,Early adult
analysis_id,4bwhx4uo5rs7194
mouse_strain,C57BL
gene_accession_id,MGI:894679
parameter_id,IMPC_EYE_092_002
pvalue,0.3200162
