parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
pvalue,0.2516225
analysis_id,k42mb1n5mac0i1v
mouse_strain,C57BL
gene_symbol,Lurap1
