analysis_id,we1npd6834o50gt
parameter_id,MGP_PBI_016_001
mouse_life_stage,Early adult
gene_symbol,Atrn
pvalue,0.9966121
mouse_strain,C57BL
parameter_name,Monocyte percentage
gene_accession_id,MGI:1341628
