gene_symbol,Cdin1
analysis_id,69l5aq5e63q4c9d
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3026886
pvalue,0.2565189
parameter_id,MGP_IMM_015_001
parameter_name,Resting CD8+ T cells - % of CD8+
