gene_symbol,Rhbg
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Alpha beta T cell percentage
analysis_id,41g6u6y602c9845
parameter_id,MGP_PBI_002_001
pvalue,0.9692656
gene_accession_id,MGI:1927379
