analysis_id,a2e87037h2ec54s
mouse_life_stage,Early adult
gene_symbol,Frmpd1
parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:2446274
parameter_name,Placenta Size
pvalue,0.9746489
mouse_strain,C57BL
