analysis_id,370l3s94b4l2l02
gene_symbol,Ahcy
parameter_id,IMPC_ECG_003_001
mouse_life_stage,E12.5
parameter_name,CV
mouse_strain,C57BL
gene_accession_id,MGI:87968
pvalue,0.06162861
