analysis_id,d686o03pd789917
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,Lens
pvalue,0.1546641
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
