analysis_id,0rb9q2ytr960d60
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
gene_symbol,Slc39a10
mouse_life_stage,Early adult
pvalue,0.7428917
gene_accession_id,MGI:1914515
