parameter_name,Hematocrit
analysis_id,61pfm3d743l8271
gene_symbol,Pum1
gene_accession_id,MGI:1931749
pvalue,0.7915079
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
