gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,ESLIM_005_001_005
parameter_name,Bone Mineral Content
pvalue,0.7510168
mouse_strain,C57BL
gene_accession_id,MGI:1915848
analysis_id,ed3bb0tl64e5xxx
