parameter_name,Snout size
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
analysis_id,36o603gl1m3s52n
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1174212
