parameter_name,NK cell number
gene_accession_id,MGI:1915472
analysis_id,p2n7213ub3g9up9
gene_symbol,Tubb4b
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
mouse_strain,C57BL
pvalue,0.3813972
