analysis_id,4is5443hj7tg7xk
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
mouse_strain,C57BL
pvalue,0.7508088
parameter_name,PP4 + pulse startle magnitude
gene_accession_id,MGI:2441730
parameter_id,ESLIM_011_001_010
