gene_symbol,Mov10
parameter_id,IMPC_EYE_056_001
mouse_strain,C57BL
analysis_id,659k4g176p56vg6
gene_accession_id,MGI:97054
pvalue,0.8743711
parameter_name,Mean left eye lens density
mouse_life_stage,Early adult
