parameter_name,Alkaline phosphatase
analysis_id,k0jzkug9ic17npn
mouse_strain,C57BL
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
pvalue,0.7368444
gene_symbol,Wars2
