parameter_name,Neutrophils
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
parameter_id,IMPC_IMM_050_001
pvalue,0.4717657
analysis_id,054mo3c98w9jh10
mouse_strain,C57BL
mouse_life_stage,E12.5
