parameter_name,Retina (combined)
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
pvalue,0.1016124
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t3ngo9et4194kfr
parameter_id,JAXLA_EYE_092_001
