analysis_id,35j8uny42i7nnwz
gene_symbol,Kif24
parameter_id,M-G-P_014_001_009
parameter_name,lens
pvalue,0.4695335
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
mouse_strain,C57BL
