parameter_name,Forebrain
gene_symbol,Slc30a4
parameter_id,IMPC_GEL_028_001
gene_accession_id,MGI:1345282
analysis_id,t360w1q61a5dbzr
pvalue,0.1769323
mouse_strain,C57BL
mouse_life_stage,Late adult
