analysis_id,8ntd797wqth062i
parameter_id,JAXLA_CSD_041_002
gene_symbol,Sdcbp2
gene_accession_id,MGI:2385156
mouse_strain,C57BL
parameter_name,Hindpaw - size
mouse_life_stage,Early adult
pvalue,0.7301989
