parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,81zs8136987690l
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
pvalue,0.1697386
gene_symbol,Arpc5l
parameter_id,HRWLLA_OFD_017_001
