analysis_id,028p3mnw30bapit
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
mouse_life_stage,Early adult
parameter_id,MGP_BMI_006_001
pvalue,0.2629137
gene_accession_id,MGI:1922082
gene_symbol,SLC45A3
mouse_strain,C57BL
