analysis_id,g62lm321oa0oq15
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.8937621
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
mouse_life_stage,E9.5
