parameter_id,IMPC_FEA_003_001
gene_symbol,SNAP23
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,fha50ybkvt587id
pvalue,0.1992515
parameter_name,Conditioning Baseline % Freezing Time
gene_accession_id,MGI:109356
