parameter_name,Dark side time spent
mouse_strain,C57BL
pvalue,0.800176
analysis_id,49823n904howxy6
gene_accession_id,MGI:1913396
gene_symbol,Maco1
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
