analysis_id,1d082017l62lwl1
mouse_life_stage,Early adult
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_id,ESLIM_011_001_704
parameter_name,Prepulse inhibition - PP4
pvalue,0.6337813
mouse_strain,C57BL
