gene_symbol,Tubb4b
parameter_id,MGP_IMM_112_001
mouse_strain,C57BL
analysis_id,r48x1el0ue84098
pvalue,0.8589234
parameter_name,Follicular B cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
