parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
pvalue,1.135402
gene_accession_id,MGI:3616086
analysis_id,994mb4346429xj6
mouse_life_stage,Early adult
gene_symbol,Kcng1
mouse_strain,C57BL
