parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
gene_symbol,Zmynd19
analysis_id,91l4z1hw0y5ofe5
mouse_life_stage,Early adult
pvalue,0.419804
gene_accession_id,MGI:1914437
mouse_strain,C57BL
