parameter_name,Basophil differential count
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
mouse_strain,C57BL
analysis_id,i915r9jk20hh1wc
pvalue,0.8647146
parameter_id,IMPC_HEM_038_001
gene_symbol,Ints7
