parameter_name,lens
gene_symbol,Ncaph
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3090512
parameter_id,M-G-P_014_001_009
analysis_id,h1gwhbgt3cd9ul2
gene_accession_id,MGI:2444777
