parameter_name,Global prepulse inhibition
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:2444113
gene_symbol,Nemp2
pvalue,0.1368032
mouse_strain,C57BL
analysis_id,r2537gd4zt58p33
