analysis_id,h3q3p7op2t5q4y2
parameter_id,HMGULA_CBC_003_001
pvalue,0.4864661
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
parameter_name,Chloride
gene_symbol,Hspa5
