parameter_name,Corneal vascularization
parameter_id,IMPC_EYE_009_001
analysis_id,rt83668d6707908
mouse_strain,C57BL
gene_accession_id,MGI:97054
gene_symbol,Mov10
pvalue,0.4317991
mouse_life_stage,Early adult
