parameter_name,Embryo turning
parameter_id,IMPC_GEL_011_001
gene_symbol,Exd1
pvalue,0.4879594
mouse_strain,C57BL
analysis_id,8doj4m8z591f8q1
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
