analysis_id,ddmm16l5r378107
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Abo
gene_accession_id,MGI:2135738
pvalue,0.2447418
parameter_name,Mean right eye lens density
