parameter_name,Bone Area
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
gene_symbol,Extl1
pvalue,0.7212787
analysis_id,l9f432l01h5tq75
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
