analysis_id,5x4d88tkb22mp1x
gene_symbol,Etfdh
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
pvalue,0.6801081
parameter_id,IMPC_OFD_018_001
parameter_name,Latency to center entry
mouse_strain,C57BL
