parameter_id,IMPC_CSD_011_001
pvalue,0.7263266
gene_accession_id,MGI:1913405
mouse_strain,C57BL
gene_symbol,Ufc1
analysis_id,610w5a98o9uz35l
parameter_name,Coat - hair distribution - back
mouse_life_stage,Early adult
