parameter_id,JAX_URI_002_001
gene_symbol,Hspa5
analysis_id,6s00sa45e53i7eu
mouse_life_stage,E12.5
parameter_name,Creatinine
pvalue,0.5416536
gene_accession_id,MGI:95835
mouse_strain,C57BL
