parameter_name,B2B Cells
mouse_life_stage,Early adult
pvalue,0.5620442
mouse_strain,C57BL
gene_symbol,Exd1
gene_accession_id,MGI:3045306
analysis_id,47m2f4aw7db381p
parameter_id,IMPC_IMM_065_001
