parameter_name,Basophil cell count
pvalue,0.6042805
gene_accession_id,MGI:2674093
Parameter_id,IMPC_HEM_037_001
Gene_symbol,Psd4
analysis_id,bz12qehkw369s5r
mouse_strain,C57BL
mouse_life_stage,Early adult
