parameter_name,Shape of vertebrae
analysis_id,4dy45x75quz8n2p
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
pvalue,0.5744911
gene_symbol,Car13
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
