analysis_id,npc590c532c59a6
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.8487651
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,MGP_IMM_004_001
parameter_name,Total CD4+ T cells - % of ab T cells
