analysis_id,62oilm4ygi13y1k
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
parameter_name,Right kidney weight
gene_symbol,Slc39a10
gene_accession_id,MGI:1914515
pvalue,0.3474448
mouse_life_stage,E9.5
