analysis_id,knd52tds3gzd6h3
gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
pvalue,0.9001367
mouse_life_stage,Early adult
mouse_strain,C57BL
