analysis_id,265031532hw2rae
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
gene_accession_id,MGI:1339969
parameter_id,MGP_IMM_010_001
pvalue,0.3178081
gene_symbol,Gja10
